# %ECSV 0.9
# ---
# datatype:
# - {name: MJD, datatype: float64}
# - {name: ra_pi_amp, datatype: float64}
# - {name: dec_pi_amp, datatype: float64}
# - {name: filter, datatype: string}
# - {name: seeingFWHM, datatype: float64}
# - {name: snr, datatype: float64}
# - {name: position_errors, datatype: float64}
# - {name: fiveSigmaDepth, datatype: float64}
# - {name: fieldRA, datatype: float64}
# - {name: fieldDec, datatype: float64}
# schema: astropy-2.0
MJD ra_pi_amp dec_pi_amp filter seeingFWHM snr position_errors fiveSigmaDepth fieldRA fieldDec
61974.225029973226 0.8046858302529718 0.13842212810505963 y 0.9414754736183094 28.248949510533148 0.03479572630811676 21.880080745189183 359.0217534582348 -21.3618501583812
63115.31510803293 0.2621459546002791 -0.2467076812481766 z 0.8236589267137848 69.86570331640067 0.015459127448561498 22.863235077460544 359.70017682831934 -21.54613988000481
63496.28436621698 0.015566224298006501 -0.36084197779202964 y 0.829755180485654 29.00830005147158 0.030301688045532398 21.908880686563258 359.4788658335433 -21.78492210005766
62130.053439115625 -0.8995680434252902 -0.33605621049339734 z 1.0406619615777606 49.26103526806392 0.023372740563065812 22.48383382594867 359.20705027929614 -21.334791916459565
63087.191376974166 0.6428510077155464 -0.010922195511720235 z 1.163262607141262 49.35644799165527 0.025602326510654617 22.485934732954135 359.8218543695684 -21.654001368010974
63088.19401163235 0.6253919206898685 -0.020227110679129825 y 1.2049278247736586 23.010813868146652 0.05330985851357954 21.6574049378518 359.3600365901218 -21.55590219327928
60930.34836388096 0.1588251394256118 -0.2898311190590487 z 0.9531680213828371 55.093164855066846 0.01998312637563311 22.60531929255704 359.1722950672917 -21.33617916453522
62720.436431744674 0.6524128235872406 0.0032364345524371727 z 0.9274132052210898 40.11772834896351 0.025187479997359263 22.26091582237379 359.2244606730128 -21.364489846333843
63496.08696062294 0.018670993017377405 -0.359595577621749 z 0.8122021957513677 49.27039264805528 0.019280603982825745 22.484040047384482 359.4788658335433 -21.78492210005766
63115.07372682392 0.26578437241557806 -0.24483979281827345 z 1.1592052670879904 45.99978613356854 0.027111836454757503 22.40946452047112 359.70017682831934 -21.54613988000481
