# %ECSV 0.9
# ---
# datatype:
# - {name: MJD, datatype: float64}
# - {name: ra_pi_amp, datatype: float64}
# - {name: dec_pi_amp, datatype: float64}
# - {name: filter, datatype: string}
# - {name: seeingFWHM, datatype: float64}
# - {name: snr, datatype: float64}
# - {name: position_errors, datatype: float64}
# - {name: fiveSigmaDepth, datatype: float64}
# - {name: fieldRA, datatype: float64}
# - {name: fieldDec, datatype: float64}
# schema: astropy-2.0
MJD ra_pi_amp dec_pi_amp filter seeingFWHM snr position_errors fiveSigmaDepth fieldRA fieldDec
61479.16246984748 -0.38214437559033293 -0.0023589128180900687 y 1.8151886371866666 15.185848206438372 0.11994916374355061 21.20617262534848 152.07944849814598 2.3157745290744605
63292.243043898416 -0.17685313390681848 -0.0922883216258885 z 0.5498690001474407 88.28804061073313 0.011780897575208294 23.117329685574738 151.91840618759602 2.2336835698565567
60371.24217613298 -0.21179581088309796 -0.10630978319011924 z 0.6439381423425664 89.02203014436103 0.012341923732062892 23.12631872448566 151.17247300697807 0.9135569503754598
60722.16003503182 0.018672541088439458 -0.19902988730315613 z 0.8870905407122759 48.86759841292757 0.020725086248751738 22.47512747978124 151.09269002089738 0.6510166861341989
60722.1763202598 0.018407146690882396 -0.19893499377296367 y 0.6564694051639629 38.007341736788746 0.01995815576210467 22.202243728583696 151.09269002089738 0.6510166861341989
61453.21985939622 0.01739101300747759 -0.19220899474484218 y 1.3397934536411933 19.997456604480814 0.06774037084423773 21.505011896709906 151.39043175491463 0.8702160415509175
63319.164849100736 -0.5969380421693012 0.06391329235085978 y 0.8141736359161024 27.033228697280567 0.03173428165363854 21.832319785396553 150.24352169100055 0.7937901191164934
60652.32787123953 0.8702033718104891 -0.3775968967046492 z 0.6363693671506055 96.67162364878337 0.011972183365395407 23.215822521283673 150.2073049590268 0.5736428370285873
63263.21224388395 0.26923930676838936 -0.290355650084699 y 0.9710834849387809 25.11179721023963 0.03994246589525732 21.752269478086724 150.59919540448848 0.27409812344642764
63347.03624629482 -0.8643453630494888 0.2344865963051647 z 0.9514174762351015 43.41642085808111 0.024087617795995366 22.34671003524856 150.82857901089127 0.557957661339049
63319.17979805876 -0.5971269843478363 0.06401335342090672 y 0.7560400789988759 28.397821536242507 0.028439290989633725 21.88578755309123 150.24352169100055 0.7937901191164934
62636.9611927674 -0.9457146852621068 0.33093736823600856 z 0.7370581040620389 58.20712694885916 0.016135160778562134 22.665015397737637 150.4476143284108 0.7209148445852598
61872.09194137669 -0.7490113450685204 0.1555845371778173 z 1.133928348634239 41.53997843045551 0.029071315732820374 22.29874065589161 150.79540975360004 0.7573190318280147
61492.16240102009 -0.589160690967421 0.05863659357526228 z 0.7933595990120369 72.55690270347247 0.01481752728173483 22.90427182755973 150.34436637025604 0.6164751166686668
60652.35048611638 0.8700839498148131 -0.3776287461151892 z 0.5914703620509167 81.27135657399813 0.012367911768392954 23.02741876170201 150.2073049590268 0.5736428370285873
63373.98060120271 -0.949644545085149 0.35343667420594804 z 0.7561396294388649 63.08790320716024 0.015609357615718415 22.75244022268947 150.20841747823428 0.7008969069579917
61843.1771158486 -0.38436859577172994 -0.03598458422600344 y 0.8314836611164304 29.69347788739168 0.029734239612460016 21.934227658869503 150.65657378284686 0.7828941193486558
61843.19216540629 -0.38459266999689984 -0.03588297821002796 y 1.226294790261228 19.415148149139817 0.06394847169141171 21.4729267612104 150.65657378284686 0.7828941193486558
61159.043477723026 -0.8907131357145919 0.25576134781251814 z 0.8708180414059625 46.78175466622033 0.021130519858620942 22.427766256846944 150.84811630520605 0.5532261612016424
60327.34190763531 0.47688524061840104 -0.32782309235381923 z 0.7205386453108457 86.76803001351728 0.012998448192901092 23.098474332450323 151.13901583823827 1.3799091787518671
62255.041300479454 -0.8847154111282278 0.2606674341756613 y 0.7753730100796002 32.33950038666773 0.025977880579814656 22.026908254663727 151.12136349808878 1.322304010160824
62255.02494697675 -0.8846206149343693 0.2605852237170828 z 1.0255481374996362 44.284665064544626 0.025224928249273335 22.36820840004438 151.12136349808878 1.322304010160824
63001.03224492618 -0.9414530273959009 0.3287830282449619 z 0.8943774610066035 67.57421566335114 0.016588491219451457 22.827027522976042 151.5384780435637 1.5791286700171538
61844.101851596424 -0.3930797977120846 -0.021854861944838596 z 0.9376096529474611 54.05164642185308 0.020022558255066755 22.584597307086586 150.97128370238727 1.2785867472421921
61872.07823701409 -0.7425962497065497 0.15897756164050814 z 1.118890569397458 42.15399687933973 0.028364187086338994 22.3146718867604 151.34642146650572 1.057951041670457
63376.989105922505 -0.9467969910362221 0.3624565436063309 y 1.1453947391269752 21.41802433102275 0.054405005684555904 21.579523508141484 151.23212493126366 1.0505807209640403
63376.972733134025 -0.9468159169562543 0.362411832735015 z 0.9610016881406331 48.50284445594891 0.02219385243069332 22.466993010681016 151.23212493126366 1.0505807209640403
61162.99872930529 -0.9107256636007741 0.27946855489364014 z 0.6749090346795108 73.01820544287725 0.013617396778668278 22.911152877051627 150.98526921183446 1.144775576632827
62253.04515026576 -0.8676135817151914 0.2582749275141587 z 1.610919874156462 24.022136747364797 0.06780131139868362 21.70410407637725 151.7735134384649 2.320652682669579
62144.30974704686 0.6051644285012268 -0.3523183998389459 z 1.1218437549568783 53.791445328385905 0.023128964212435703 22.579358023024522 151.13737989078103 1.6848605573155724
63319.136675676404 -0.5861822468891784 0.08037565474614014 z 0.8059124603300496 48.825851887263525 0.01929878930843998 22.47419956256763 150.98182807051896 1.974870295174697
