# %ECSV 0.9
# ---
# datatype:
# - {name: MJD, datatype: float64}
# - {name: ra_pi_amp, datatype: float64}
# - {name: dec_pi_amp, datatype: float64}
# - {name: filter, datatype: string}
# - {name: seeingFWHM, datatype: float64}
# - {name: snr, datatype: float64}
# - {name: position_errors, datatype: float64}
# - {name: fiveSigmaDepth, datatype: float64}
# - {name: fieldRA, datatype: float64}
# - {name: fieldDec, datatype: float64}
# schema: astropy-2.0
MJD ra_pi_amp dec_pi_amp filter seeingFWHM snr position_errors fiveSigmaDepth fieldRA fieldDec
60575.29642658269 -0.0042675414642640895 -0.3548691734063136 z 0.6596213763165993 84.54759138600221 0.012683363514580888 23.070328088696655 359.0283267746269 -21.164935085489027
59857.21123871862 -0.21774123740345028 -0.4190458942620121 y 0.666860457479499 42.44957471719748 0.018622232654593663 22.322258348171744 358.1544351049139 -20.901611622065243
63195.12625109705 -0.8170389704836969 -0.4778422325825149 y 0.672781865511992 35.51479052887731 0.02142111387822756 22.12859813287745 358.2631433099932 -20.954600058535874
60546.33771177703 0.42111134431617575 -0.13761964305998947 z 0.8650754356966313 63.54379225442336 0.01689191573939977 22.760257813389995 358.1971180992317 -20.88023726940229
59865.190952771256 -0.3255709424110378 -0.4579057835970629 z 0.6049699108773777 94.16139139555499 0.011886054902453029 23.187257157475752 358.87456323809147 -21.18431493045681
63195.11003195097 -0.8169283356573254 -0.47788572521504574 z 0.634857665743433 71.21850390482767 0.0133963943566743 22.884057104561762 358.2631433099932 -20.954600058535874
61546.41656362713 0.8190410473727605 0.5009832735122356 z 1.020798519919817 45.337880221948964 0.02463617791379986 22.393728016095857 358.65238748196583 -21.13676820955291
63134.12890407899 -0.03700389133328612 -0.3783564392504463 z 0.6250183884018727 101.05560925457821 0.011758100740166547 23.263976051000054 359.3176395026223 -21.630407275646178
60864.27735865349 0.8977027992597176 0.2561022511120716 y 0.882474376267864 28.659280309767247 0.032375030085521186 21.895738189709185 359.12906526419636 -21.400937510097304
61192.39401568012 0.8862020466637799 0.4739346933166066 z 0.7930200097298864 59.14006325932051 0.0167274093775938 22.68227945099634 359.47748897062445 -21.021932699731835
61368.09391534595 -0.7979872218599124 -0.48337587663902387 y 0.5952012529189535 44.31874138558446 0.01674411051799479 22.369043534917505 359.2808666994139 -20.90226405593544
62040.161008264906 -0.05896680911471902 -0.3779407596319502 z 1.3249390973727428 47.451166813350156 0.029658844363633377 22.44319222940169 359.5100399906719 -20.937563564252628
60276.10497452012 -0.8224434436556395 -0.4756277808873934 z 0.6208370625103606 78.82888844738261 0.012729003372072483 22.99428849589535 359.7399582613089 -21.33773819327616
61220.357568700885 0.9286270985586584 0.322487500988499 z 0.6454409903671572 76.79594394563455 0.013062836411786046 22.965920696512605 359.09037686283955 -21.235040514220383
61701.044492704445 -0.44204950033276563 -0.49522905562367564 z 0.7640003426748223 87.10485580182309 0.01330154790105592 23.102680904496427 359.907032682859 -21.49858928284355
60545.354725065656 0.46181936829465864 -0.126866469700423 y 0.8893244576856606 28.81445761971165 0.03244342561331183 21.901601112116392 359.9541748175217 -21.021569950001556
62751.157270223586 0.2404621056603218 -0.254378346383474 z 0.8711361192309938 65.89073980799266 0.016576872242294653 22.79963594852527 359.3925832563709 -21.436237754164736
60163.3835584623 0.6634989366758662 0.009857559190264637 z 0.8361585093519429 69.7993783477391 0.01560472176000091 22.86220387589877 359.6668861267505 -21.500634912767808
62705.442294489425 0.7979096507853051 0.1319053812487994 z 0.7963727406653508 57.48918289368444 0.017084894036169702 22.65154032907869 359.22221782812136 -21.431023161186175
60545.33945237133 0.4620281727872078 -0.12673746121223542 y 0.8703485429114763 30.124517344452762 0.030573360579644503 21.949875232572033 359.9541748175217 -21.021569950001556
60101.43101464447 0.9040000130057179 0.4574360323158251 y 0.8743767871295217 28.44935280090688 0.03232042422129671 21.8877559666738 359.55479781932286 -21.512922499792527
60894.28860404741 0.6624050839287916 0.008778086606769993 z 0.8169033724723951 61.3972703163678 0.0166441739167769 22.722947646944004 359.6673066546558 -21.29773145798206
61727.09435927255 -0.7488072436099381 -0.49823094738752854 z 0.8312701066047722 80.1636600638944 0.014405898172938079 23.01251883348637 359.30661457171243 -21.04439415957069
62695.32628537205 0.8718395359310611 0.22170648111366092 y 0.9415882522405971 29.45994063836117 0.03348950494851163 21.92565465767545 359.8305798914083 -21.032602048132247
62051.12216149622 -0.22217607569775596 -0.4406037847017737 z 0.8361693066512883 68.34574357736089 0.015801284567828613 22.839353671261357 359.91750131925335 -21.280932367653467
63146.09730493261 -0.21747781109486405 -0.440017106441344 z 0.7987824461089126 83.65623743211336 0.013826487857367372 23.058820808214655 359.6500761790934 -21.51767713361224
60164.39732884625 0.6458110392833859 0.0069010726545196115 z 1.102714355355744 54.8614656378203 0.022450149021002185 22.600743503433826 359.1557772688295 -20.908481310923502
60864.26237540722 0.8977710639287741 0.25621660312428163 y 1.17083459208849 20.308676651881118 0.05851278575220068 21.521779051548112 359.12906526419636 -21.400937510097304
60163.397832566174 0.6633413422870871 0.009732162266614584 y 0.7509826585254545 38.07052538160527 0.02211602760327699 22.20404716469716 359.6668861267505 -21.500634912767808
62695.34187429421 0.8717529223362968 0.22158368496957934 y 1.1133059725108279 25.100523078672467 0.045467219267782785 21.751781919138843 359.8305798914083 -21.032602048132247
62350.32597115505 0.7136181378310886 0.050632447126859596 z 1.2621708159784182 49.92757393751785 0.02718602892969401 22.498426147881393 359.9043301074852 -21.217660499947318
