# %ECSV 0.9
# ---
# datatype:
# - {name: MJD, datatype: float64}
# - {name: ra_pi_amp, datatype: float64}
# - {name: dec_pi_amp, datatype: float64}
# - {name: filter, datatype: string}
# - {name: seeingFWHM, datatype: float64}
# - {name: snr, datatype: float64}
# - {name: position_errors, datatype: float64}
# - {name: fiveSigmaDepth, datatype: float64}
# - {name: fieldRA, datatype: float64}
# - {name: fieldDec, datatype: float64}
# schema: astropy-2.0
MJD ra_pi_amp dec_pi_amp filter seeingFWHM snr position_errors fiveSigmaDepth fieldRA fieldDec
62098.10799353374 -0.7013799692098314 -0.6709315473157007 z 0.9122722648585436 70.81044234989139 0.01630887650043045 22.877818257696852 9.712755781691575 -45.792939263488314
61607.36830902278 0.8953286449565964 0.007495729554802351 z 0.8334565349135258 57.27260616512527 0.01765711465690767 22.647442354022917 9.680304457562677 -45.830238150257095
62045.15911134411 0.0007233859761650865 -0.7521642073054784 z 1.1364432247535687 39.861713785199264 0.03021257581477709 22.253964905418297 7.5867091733543015 -45.47205046593412
61606.303677884396 0.8846104404408661 0.0025857160901657785 y 0.6928704422020021 35.460337504948136 0.021949590920787375 22.1269321512082 7.015986946197081 -44.6867707642335
61606.31871573759 0.8845310705359719 0.002386023839577597 y 0.7287222459510291 34.349092188269466 0.023453868589043348 22.092363148119396 7.015986946197081 -44.6867707642335
63084.40358582588 0.7602210187205505 -0.2211843884638651 z 0.5762373868140699 92.49870863185632 0.0117817196182106 23.16791416322446 7.570635734716836 -45.077210030486675
60545.3652865737 0.5904336652744724 -0.4217027936739158 z 0.8245729865501089 65.53254672371332 0.01607243098686834 22.793717603715496 8.91162283810736 -45.17854747065394
60545.38201518445 0.5902285758501385 -0.42189331407314373 y 0.7697535007414342 35.755252109605486 0.02373756863249387 22.13592460063458 8.91162283810736 -45.17854747065394
61248.32386936286 0.8523361589712098 -0.0836178893353634 y 1.0918335817868172 24.947939033456375 0.0448924238586058 21.745161674342313 8.489017713975787 -45.39615487481311
62049.29175549745 -0.05223745908561298 -0.7681224108904905 z 1.2720046416983857 34.654530020396415 0.03804311313422494 22.101975022623975 8.296743319850487 -45.46528060107651
61284.24451822024 0.4654929344669339 -0.5274685352197905 z 0.8331847764598899 68.07221490668609 0.015805401581332437 22.8349996934995 7.737625338068206 -45.55562488777403
61579.370777616365 0.9300863087796125 0.3674201719810797 z 0.8426845114680552 59.573781134909126 0.017323030265530066 22.690212903034418 8.940853234894234 -45.4460287120181
61248.308591183435 0.8524378183094629 -0.08341301913195372 y 1.1817174679008093 22.665263321069652 0.05308815779447592 21.640976911613542 8.489017713975787 -45.39615487481311
61579.387836654285 0.9301250642282031 0.3672146667317722 y 0.9026860172364567 29.753688879864345 0.03194420421751213 21.936427032880466 8.940853234894234 -45.4460287120181
60515.3960139325 0.8688657396178296 -0.04352732151004046 z 0.9306296676973159 52.1724265867704 0.020449429018903086 22.54617758071364 8.888986773169337 -45.41499510482074
62488.06119087771 -0.8851132935629984 -0.40752966491285897 z 0.9363486646904858 56.09891714720402 0.019457401061078638 22.6249611850128 7.834067505631451 -44.85616163102607
