# %ECSV 0.9
# ---
# datatype:
# - {name: MJD, datatype: float64}
# - {name: ra_pi_amp, datatype: float64}
# - {name: dec_pi_amp, datatype: float64}
# - {name: filter, datatype: string}
# - {name: seeingFWHM, datatype: float64}
# - {name: snr, datatype: float64}
# - {name: position_errors, datatype: float64}
# - {name: fiveSigmaDepth, datatype: float64}
# - {name: fieldRA, datatype: float64}
# - {name: fieldDec, datatype: float64}
# schema: astropy-2.0
MJD ra_pi_amp dec_pi_amp filter seeingFWHM snr position_errors fiveSigmaDepth fieldRA fieldDec
62840.05455658067 -0.8696351134824756 -0.4479075157526547 z 1.2627354636226322 38.25648931785153 0.03448866660533674 22.209337773236562 359.0274535976268 -20.946077074027745
61275.220379326245 0.45669807800924683 -0.12911310566982998 z 0.9176636949790206 63.87308605403591 0.017504578531580568 22.76586973860692 358.99965606672896 -21.240348341718263
63085.35006822299 0.6528976393761862 0.010205268664305808 z 1.0326394277396793 48.145337424486925 0.023665015256586357 22.45896057612574 358.97373683913924 -21.031831033968135
63085.29919688979 0.6534660590300037 0.010645353861641574 y 0.6368481357113953 44.69816403500271 0.01740684625659834 22.37829920158473 358.97373683913924 -21.031831033968135
63085.28250161996 0.653652501666175 0.0107897815842537 z 0.7310406753349026 69.3363080831263 0.014531460971849153 22.854976772329216 358.97373683913924 -21.031831033968135
63085.36664566958 0.6527123043574283 0.010061855976400665 y 0.7813787010482068 34.91652028979219 0.024511149122307486 22.110152379847886 358.97373683913924 -21.031831033968135
61993.38455432717 0.6149703261470852 -0.020635026603196705 z 0.7652302236419716 63.46090645505843 0.015665325962378886 22.758840666986412 359.18416804016476 -20.964163849668623
62368.21243738142 0.49264852405388854 -0.11673397165893216 z 1.0056353422170055 54.76951570305452 0.02090776277153454 22.598922240951474 359.1947710764776 -21.82589522439484
60567.1576418878 0.13888352656394656 -0.3106312286718029 z 0.8102823709238582 67.92003416621229 0.015566747330576374 22.832569728414068 359.9290515003159 -21.78170438627262
60245.156724913366 -0.5184576533426356 -0.4977916119550403 y 0.9621821496136783 23.39120722917867 0.04233243326959028 21.675206580390935 359.42215650388636 -21.206580984938213
61222.33798650975 0.9259530039638781 0.3115747696781356 y 0.9219762988070564 26.71454472637812 0.03593171720541164 21.81944443232171 359.8397213827218 -21.5235171612729
62722.240477678155 0.640646070353267 -0.004777754611723121 z 1.2567273639391359 45.91831672779307 0.02913844526943871 22.407539887480674 359.90223411929406 -20.999291713359753
63135.13333398511 -0.04339154156089313 -0.3819852219031436 z 0.5769415733318812 102.51644052151948 0.01147484567928398 23.27955878569361 359.85645605286464 -21.47610498025769
63135.150095894256 -0.04365506056811715 -0.38208425370005467 y 0.6700714632009793 44.72603619150333 0.01801252168577026 22.378976016369112 359.85645605286464 -21.47610498025769
62751.17965454834 0.2465170950817769 -0.25622700017584615 z 0.9315321681639565 62.79388092667506 0.017890503386292993 22.747368301956094 359.77066461847267 -21.572531515843036
60245.20227376249 -0.5190449633064587 -0.49786383325262723 y 1.0993924413332226 18.698000254114298 0.05964164401655916 21.432062892527473 359.42215650388636 -21.206580984938213
61993.398998136625 0.6147995060181167 -0.020760075912814167 y 0.7957208903586221 32.18127855419048 0.026671805585452322 22.021583225453686 359.18416804016476 -20.964163849668623
61222.35326982488 0.9259145528905539 0.31146610734701574 y 0.9555420788127905 26.350858630185805 0.037615855420753005 21.804561916805206 359.8397213827218 -21.5235171612729
61397.05984869859 -0.8985331555632183 -0.3513060720681209 z 1.5201988244060047 29.512159628931094 0.05247262175437626 21.927577467383735 359.3552703317605 -21.416253580621934
62396.152142669234 0.08211386093604874 -0.3197397306650223 z 0.8419362798191461 69.91350547471755 0.015653204205417943 22.86397768484003 359.3402946859322 -20.9230832135586
60894.25403650283 0.6642196056558 0.013608742216471069 y 0.7601161952118278 35.39381175510924 0.02369001880669036 22.124893330980232 359.78172559487666 -20.996560513495073
60125.39068934963 0.9235933386604929 0.320383413313816 z 0.7482600545398727 91.02017110595276 0.012945339365824989 23.1504191081291 359.2082941529606 -20.926418014840408
60894.23825709552 0.6643946330857545 0.013746211526242403 y 0.7611809832841928 34.5255157460783 0.024208806206127066 22.097925426258595 359.78172559487666 -20.996560513495073
61571.42426521219 0.931454899141714 0.41252254386668896 z 1.0072624854414414 65.26350952146824 0.018390255251403823 22.789251049428664 359.8419871584092 -21.670011251053197
60125.404832284745 0.9235595678005764 0.3202867223112347 y 0.9096547215706509 34.415705561259976 0.028259831001820983 22.094466682944397 359.2082941529606 -20.926418014840408
60245.18739136855 -0.5188531044428524 -0.49784027036645173 y 0.7429972362947687 29.370295500103396 0.027202339454220865 21.922345779319414 359.42215650388636 -21.206580984938213
60658.0762930962 -0.8914543484116281 -0.40355470756230494 z 0.7625664362118578 61.199587433572745 0.01597684485810765 22.719446225245804 359.89208243129235 -21.633246504672886
60245.171958952466 -0.5186541182204494 -0.497815801459737 y 0.957064996589363 23.056730948562986 0.042696702786332204 21.659569318581564 359.42215650388636 -21.206580984938213
61015.074240208916 -0.8726755725245078 -0.43296182859425125 y 0.9150629441161288 29.318040619658664 0.03277444046768774 21.92041234469448 358.0831871091113 -19.98006415281067
61015.0579487411 -0.8726141757354928 -0.4330273618930364 z 0.9986586382194446 53.950093649062254 0.021039229984458997 22.58255549637992 358.0831871091113 -19.98006415281067
62431.15531789984 -0.45906025304585096 -0.483019141782519 z 0.7581542407510211 52.68162110661507 0.01752449715741866 22.55672281542082 358.6433130549707 -20.80495732496568
61994.379089593436 0.592592435483989 -0.022287370316524228 z 0.7106511336472774 76.64995292030581 0.013636662275629312 22.96385472025865 358.4059454942715 -20.285002724516993
62370.21389364899 0.4616511310663567 -0.11689431960736082 y 1.079870085384086 22.885765640824612 0.048233243784929214 21.651488604863648 358.9276577802953 -20.691309368239043
62370.22955543779 0.46143735214002857 -0.11702541920972608 y 0.7930059943504404 32.280624177981146 0.026523360103382843 22.02492979827761 358.9276577802953 -20.691309368239043
61285.28250364328 0.2996219002186866 -0.2023472784984574 z 1.1864371942223195 48.37734822328339 0.026485054540886264 22.464180136845613 358.2147780260088 -20.59910739424877
