|               MJD|            ra_pi_amp|            dec_pi_amp|filter|         seeingFWHM|               snr|     position_errors|    fiveSigmaDepth|             fieldRA|           fieldDec|
|            double|               double|                double|  char|             double|            double|              double|            double|              double|             double|
|                  |                     |                      |      |                   |                  |                    |                  |                    |                   |
|              null|                 null|                  null|  null|               null|              null|                null|              null|                null|               null|
  60546.34742500379   0.43141146214971865   -0.13580838567842154      z  0.7805987773504484  70.31504245434222 0.014941289921410257 22.870195597444948   358.86784245746026 -20.871191271359404 
  60546.36385683389   0.43118222413608903   -0.13594480331519557      y  0.7848953255411915  34.56796213593943  0.02481040306818985  22.09925943315603   358.86784245746026 -20.871191271359404 
  62338.31220136582    0.8068445821177149     0.1495239783979217      z  0.7452825212456351  84.57953466351648 0.013328338447512533  23.07073821774122    358.4183821711213 -20.883670139472088 
  62732.36429687774    0.4963147037773751   -0.09583837898463037      z  0.8436377079984321  67.77610283015616 0.015966787333526966 22.830266471672655   358.52933767520256  -20.93819069226807 
 63199.099580152855   -0.8394131440672249    -0.4677611145656993      z  0.7365486392930756  63.48264979563449 0.015317140325987301 22.759212604452227    358.6825542728054   -20.8330858111134 
   61248.2855901018    0.7636625666584078    0.10428076770757531      y  1.0385656790902231 26.147071885574075  0.04095962040332776  21.79613264137092     358.541018262455  -20.95326582617632 
  61248.26919296032    0.7638120633900733    0.10441927007059164      z   1.148184604600706  43.16738087103559 0.028416131605525544 22.340464237059404     358.541018262455  -20.95326582617632 
  62338.32959973757    0.8067073255775996    0.14938098224641067      y  1.2506074069587645  24.51606777015144  0.05198267179872452 21.726202022181937    358.4183821711213 -20.883670139472088 
 60217.249182268766  -0.11939881902004572   -0.39226105272676864      y  0.7621906537732028 28.114447077976685 0.028895804468664646  21.87489885599519   359.02665771989416 -20.875276455438698 
  61247.40372839448    0.7720443398320638    0.11082214338344273      z   1.035036562392447  63.80588026420354  0.01905628191223633  22.76472675056381   358.58346629875524  -21.04861926616903 
    60217.264821505  -0.11964249782373637    -0.3923456259381767      y  0.7393332450590167 28.284903654281464 0.027986362854223717 21.881461748558184   359.02665771989416 -20.875276455438698 
 60576.284554672195 -0.016043692217496342    -0.3569273079818998      y  0.7181113867005308 39.531958486548284 0.020735947138397434  22.24494581573527    359.2438070267893 -20.916009528337717 
 61995.365815967096     0.601567816747519  -0.042229330525920185      z  0.6970765773026256  86.89035429157644 0.012820306862205002 23.100003909267556    359.9472471554921 -21.470339814190567 
